Cause,Title,No_of_victims
Falls, Employee Is Struck By Amusement Ride  Is Injured In Fall ,Single
Struck By Moving Objects, Employee Is Injured In Fall From Ride ,Single
Collapse of object, Employee'S Finger Is Amputated After Being Crushed ,Single
Falls, Employee Falls Demolishing Amusement Ride  Is Killed ,Single
Falls, Employee Falls From Roof And Is Killed ,Single
Falls, Carpenter Is Injured In Fall From Wall ,Single
Falls, Employee Fractures Back In Fall From Roof ,Single
Falls, Construction Worker Sustains Fractures In Fall From Roof ,Single
Falls, Worker Dies In Fall From Cellular Tower ,Single
Falls, Employee Falls From Decking And Is Killed ,Single
Caught in/between Objects, Dam Worker Ties,Single
Caught in/between Objects, Worker Falls From Roof And Sustains Multiple Fractures ,Single
Collapse of object, Employee Falls From Tree  Has Contusions  Is Unconscious ,Single
Collapse of object, Employee Is Killed When Struck By Falling Ceiling ,Single
Collapse of object, Employee Fractures Back In Training Exercise ,Single
Collapse of object, Roofer Is Killed In Fall From House ,Single
Collapse of object, Carpenter Is Injured In Fall From Ladder ,Single
Collapse of object, Employee Is Injured In Fall Fromtelecommunication Tower ,Single
Collapse of object, Worker Survives Sixty,Single
Collapse of object, Employee Falls And Dies While Preparing To Wash Windows ,Single
Collapse of object, Employee Sustains Electric Shock ,Single
Collapse of object, Roofer Falls 40 Feet And Dies While Wearing Ppe ,Single
Collapse of object, 19 Employees Are Injured When Canopy Walk Collapses  One Die ,Multiple
Falls, Employee Fractures Leg When Broken Grip Hoist Strikes ,Single
Falls, Worker Falls From Ladder And Sustains Serious Brain Injury ,Single
Falls, Employee Dies From Aneurism ,Single
Falls, Employee Dies Of Intracranial Aneurysm ,Single
Falls, Worker Found Unconscious Dies Of Aneurysm Or Heart Attack ,Single
Falls, Employee Dies Of Brain Aneurysm ,Single
Falls, Employee Dies From Cerebral Aneurysm While Spraying Termites ,Single
Falls, Landscaper Dies From Intracerebral Berry Aneurysm ,Single
Falls, Employee Suffers Brain Aneurism ,Single
Falls, Employee Dies In Pry Bar Accident ,Single
Falls, Employee Dies Of An Apparent Brain Aneurysm ,Single
Falls, Employee Dies After Triple Aortic Aneurysm ,Single
Falls, Employee Is Injured After Tractor Lifted By Crane Falls ,Single
Falls, Employee Dies When Aortic Arch Ruptures ,Single
Collapse of object, Basketball Coach Dies Of Aneurysm While On The Road ,Single
Struck By Moving Objects, Employee Dies From Aneurism In Apparent Head Injury ,Single
Other, Employee Dies After Collapsing And Losing Consciousness ,Single
Struck By Moving Objects, Employee Dies Of Brain Aneurism ,Single
Struck By Moving Objects, Employee Dies Of Non,Single
Struck By Moving Objects, Employee Suffers Brain Aneurysm And Later Dies ,Single
Falls, Employee Is Killed While At Basketball Practice ,Single
Falls, Irrigation Systems Employee Is Overcome By Ammonia Vapors ,Single
Suffocation, Three Employees Are Exposed To Ammonia Release ,Multiple
Collapse of object, Employee Injured From Exposure To Ammonia Vapors ,Single
Other, Fourty One Employees Are Exposed To Ammonia Release ,Multiple
Struck By Moving Objects, Two Employees Are Injured In Explosion ,Multiple
Struck By Moving Objects, Worker Is Sprayed In Eyes With Anhydrous Ammonia ,Single
Caught in/between Objects, Employee Is Exposed To Anhydrous Ammonia ,Single
Struck By Moving Objects, Two Employees Are Exposed To Anhydrous Ammonia ,Multiple
Struck By Moving Objects, Employee Killed When Exposed To Anhydrous Ammonia ,Single
Struck By Moving Objects, Employee Dies From Chemical Burns ,Single
Fires and Explosion, Employees Injured In Anhydrous Ammonia Release ,Multiple
Struck By Moving Objects, Employee Inhales Anhydrous Ammonia ,Single
Suffocation, Six Employees Injured When Exposed To Anhydrous Ammonia ,Multiple
Fires and Explosion, Two Employees Injured In Anhydrous Ammonia System Leak ,Multiple
Suffocation, Employee Exposed To Anhydrous Ammonia Leak ,Single
Falls, Employee Suffers Aniline Poisoning ,Single
Struck By Moving Objects, Aniline Spill ,Single
Other, Employee Is Killed In Cougar Attack ,Single
Falls, Employee Suffers Snake Bite While Landscaping ,Single
Falls, Employee Is Mauled By Lion In Zoo ,Single
Falls, Spider Bites A Construction Worker ,Single
Falls, Employee Injures Hand When Bitten By A Cat ,Single
Falls, Employee Treated For Snake Bite ,Single
Falls, Black Widow Spider Bites Dump Truck Driver ,Single
Falls, Worker Attempting To Capture Alligator Is Bitten ,Single
Falls, Volunteer Firefighter'S Finger Is Amputated By Dog Bite ,Single
Falls, Employee Is Poisoned By Snake Bite ,Single
Struck By Moving Objects, Security Guard Is Bitten By Rattlesnake ,Single
Struck By Moving Objects, Police Officer Is Bitten By Police Dog ,Single
Other, Employee'S Finger Is Bitten By Dog And Is Amputated ,Single
Falls, Employee Injures Leg When Attached By Panda Bear ,Single
Falls, Employee Is Bitten By Snake ,Single
Struck By Moving Objects, Zookeeper'S Fingers Are Amputated By Chimpanzee ,Single
Falls, Employee Is Crushed Between Gator And Tractor Trailer ,Single
Other, Employee Sustains Staff Infection ,Single
Falls, Camp Employee Is Thrown From Horse And Sustains Fracture ,Single
Electrocution, Employee Is Killed When Kicked In The Head By Horse ,Single
Electrocution, Animal Wrangler Gored In Leg By Aggressive Bull ,Single
Other, Ring Is Caught On Turkey Cage And Amputates Finger ,Single
Electrocution, Employee Is Kicked By Horse  Suffers Fractures ,Single
Electrocution, Livestock Worker Is Struck In Leg By Cow ,Single
Fires and Explosion, Worker Injured Jumping From Wagon Being Pulled By Horses ,Single
Fires and Explosion, Pet Groomer Is Infected By The Bacteria Of Flea Through Cut ,Single
Other, Horseback Tour Guide Is Struck And Killed By Falling Tree ,Single
Other, Animal Handler At Wild Animal Park Is Gored By Cape Buffalo ,Single
Other, One Employee Is Killed  One Is Injured In Explosion ,Single
Other, Ranch Worker Dies After Being Thrown From Horse ,Single
Other, Zoo Keeper Fractures Leg In Fall In Animal Exhibit ,Single
Other, Employee'S Finger Is Injured By Cow  Later Amputated ,Single
Other, Employee Is Injured In Fall From Folding Chair ,Single
Caught in/between Objects, Worker Falls From Ladder And Fractures Leg And Ankle ,Single
Other, Employee Falls From Ladder  Receives Multiple Injuries ,Single
Falls, Employee Cuts Ankle With Saw ,Single
Struck By Moving Objects, Two Employees Are Struck By Flatbed Truck  One Is Killed ,Multiple
Electrocution, Employee'S Ankle Is Struck By Object And Is Fractured ,Single
Fires and Explosion, Farm Worker Crushes Leg In Tractor Roll,Single
Other, Employee Fractures Ankle When Struck By Rack Of Glass ,Single
Struck By Moving Objects, Employee Falls From Ladder Hanging Picture  Fractures Ankle ,Single
Struck By Moving Objects, Temporary Worker Is Injured In Fall While Erecting Shelves ,Single
Collapse of object, Landscaper Fractures Ankle In Fall While Pruning Palm Trees ,Single
Electrocution, Worker'S Foot Is Crushed During Mobile Home Installation ,Single
Falls, Two Workers Are Injured When Struck By Falling Plywood ,Multiple
Falls, Employee Jumps From Tractor Fractures Ankle ,Single
Falls, Employee Receives Multiple Injuries In Fall Through Roof ,Single
Other, Worker Fractures Ankle In Fall From Unsecured Plank ,Single
Other, Employee Falls And Fractures Ankle During Roof Work ,Single
Struck By Moving Objects, Employee Fractures Ankle Caught Between Forklift And Battery ,Single
Other, Worker Falls And Breaks Foot When Ladder Falls ,Single
Fires and Explosion, Employee Is Killed In Fall From Tower ,Single
Falls, Employee'S Finger Is Amputated While Lowering Antennas ,Single
Exposure to extreme temperatures, Employee Is Killed In Fall Off Tower ,Single
Suffocation, Employee Is Killed When Forklift Flips Over ,Single
Fires and Explosion, Two Communications Workers Killed In Tower Collapse ,Multiple
Other, Volunteer Is Electrocuted While Raising Radio Antenna ,Single
Suffocation, Worker Is Killed In Fall From Roof ,Single
Falls, Employee Suffers Fracture In Fall From Roof ,Single
Struck By Moving Objects, Employee Is Killed In Fall From Metal Deck ,Single
Struck By Moving Objects, Employee Is Killed In Fall From Tower ,Single
Struck By Moving Objects, Employee Is Killed When Struck By Antenna ,Single
Caught in/between Objects, Technician Is Killed In Fall From Ladder ,Single
Other, Electric Shock ,Single
Falls, Employee Killed In Fall From Communication Tower ,Single
Drowning, Employee Killed In Fall From Communication Tower ,Single
Caught in/between Objects, Employee Falls From Radio Tower And Dies ,Single
Fires and Explosion, Employee Killed In Fall From Tower ,Single
Collapse of object, Employee Injured By Fall While Descending Antenna Tower ,Single
Falls, Antenna Touches Overhead Powerline And Shocks Worker ,Single
Struck By Moving Objects, Maintenance Worker Catches On Fire While Arc Cutting ,Single
Struck By Moving Objects, Employee Receives Burns When Oil Drum Explodes ,Single
Falls, One Employee Is Killed  One Injured In Tank Explosion ,Single
Falls, Two Employees Are Killed In Oil Tank Fire ,Multiple
Falls, Employee Suffers Thermal Burns To Rights Side Of Body ,Single
Falls, Worker Is Burned While Arc Welding ,Single
Exposure to extreme temperatures, Employee Receives Burn When Garment Catches Fire ,Single
Falls, Employee Receives Burns From Welding Exposion ,Single
Falls, Employee Is Burned When Clothes Catch Fire While Welding ,Single
Falls, Employee Is Killed In Fall From Ladder ,Single
Falls, Employee Sustains Burns Using Carbon Arc Welder ,Single
Falls, Employee Is Electrocuted While Turning On Arc Welder ,Single
Falls, Employee Found Dead After Arc Welding Support Pole ,Single
Falls, Employee Electrocuted In Contact With Arc Welder Cables ,Single
Falls, Two Employees Burned When Drum Explodes ,Multiple
Falls, Employee Electrocuted While Arc Welding ,Single
Struck By Moving Objects, Employee Struck And Killed By Vapor Plug ,Single
Struck By Moving Objects, Employee Injured While Repairing Arc Welder ,Single
Falls, Employee Received Burns From Arc Flash ,Single
Falls, Two Employees Burned By Flash Fire ,Multiple
Struck By Moving Objects, Employee Dies Of Asphyxia After Fall Into Wine Tank ,Single
Struck By Moving Objects, Welder Dies Of Asphyxia ,Single
Fires and Explosion, Four Employees Are Intoxicated By Leaking Argon ,Multiple
Fires and Explosion, Employee Dies When Asphyxiated In Food Processing Machine ,Single
Fires and Explosion, Two Employees Die In Oxygen Deficient Atmosphere ,Multiple
Exposure to extreme temperatures, Employee Faints While Welding And Inhaling Argon Gas ,Single
Fires and Explosion, Two Employees Killed When Asphyxiated In Furnace ,Multiple
Other, Employee Asphyxiated By Argon In Confined Space ,Single
Falls, Employee Suffers Amputation Of Finger ,Single
Struck By Moving Objects, Employee Dies Of Asphyxia In Vessel Containing Argon ,Single
Falls, Employee Dies Of Asphyxia From Inhalation Of Argon Gas ,Single
Falls, Two Employees Die In Oxygen Deficient Atmosphere ,Multiple
Drowning, One Employee Killed And One Injured By Oxygen Deficiency ,Single
Electrocution, Three Employees Killed  1 Injured From Exposure To Argon Gas ,Multiple
Falls, Welder Killed In Large Pipe ,Single
Electrocution, Employees Exposed To Argon Gas In Confined Space ,Multiple
Electrocution, One Employee Killed And One Injured By Argon ,Single
Falls, Welder Found Dead With Hot Welding Tip On Cheek ,Single
Electrocution, One Employee Killed  One Injured When Asphyxiated By Argon ,Single
Falls, Employee Asphyxiated By Argon Gas ,Single
Falls, Foreman Operating Chop Saw Cuts Lower Arm ,Single
Falls, Employee Falls With Bin From Forklift And Is Injured ,Single
Falls, Employee Sustains Electric Shock Repairing Machine ,Single
Falls, Employee Lacerates Arm On Machine ,Single
Falls, Employee Sustains Burns On Arm And Hand Fighting Fire ,Single
Falls, Employee Falls From Ladder  Fractures Arm ,Single
Falls, Worker Pulling Cart Trips  Falls And Breaks Wrist And Hip ,Single
Electrocution, Employee Is Burned By Electric Arc Flash ,Single
Falls, Employee Suffers Fractures When Ladder Slides Down Wall ,Single
Falls, Employee Falls Off Roof And Fractures Arm ,Single
Other, Employee'S Arm Is Caught In Mixer And Is Injured ,Single
Falls, Two Employees Are Injured In Chemical Fire ,Multiple
Struck By Moving Objects, Employee Fractures Pelvis  Arm  Ribs In Fall From Pole ,Single
Fires and Explosion, Employee Sustains Fractured Arm/Amputated Finger In Shear ,Single
Suffocation, Worker Lacerates Arm In Chain Drive At Rendering Plant ,Single
Falls, Employee Suffers Burns When Splashed By Caustic Chemicals ,Single
Falls, Employee Suffers Injures When Struck By Beam ,Single
Falls, Employee Suffers Burns When Caught In Flash Fire ,Single
Struck By Moving Objects, Employee Suffers Fractures When Caught By Conveyor Belt ,Single
Falls, Lineman Is Shocked When Rod Contacts High Voltage Line ,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Struck By Moving Objects, Electric Shock ,Single
Collapse of object, Employee Struck By Sliver Of Metal  Later Dies ,Single
Collapse of object, Employee Punctures Forearm When Struck By Utility Knife ,Single
Collapse of object, Employee Punctures Arm With Meat Cutting Knife ,Single
Struck By Moving Objects, Employee Ingers Hand In Knife Accident ,Single
Falls, Splinter Punctures Vein Of Worker Guiding Lumber Through Saw ,Single
Falls, Worker Incurs Arterial Tear From Scaffold Fall And Dies ,Single
Struck By Moving Objects, Employee Crushed By Steel Drill Casing ,Single
Caught in/between Objects, Employee Suffers Multiple Fractures When Caught By Machine ,Single
Falls, Employee Lacerates Artery In Foot When Ran Over By A Pallet ,Single
Collapse of object, Forklift Operator'S Arm Is Is Injured ,Single
Struck By Moving Objects, Sledgehammer Breaks And Strikes Worker In The Arm ,Single
Falls, Employee Falls Through Skylight  Is Impaled On Storage Rack ,Single
Struck By Moving Objects, Employee Is Killed When Working On Bobcat ,Single
Struck By Moving Objects, Owner Is Killed When Saw Cuts Artery ,Single
Struck By Moving Objects, Employee Lacerates Arm In Fall ,Single
Electrocution, Employee'S Leg Is Injured By Chain Saw ,Single
Electrocution, Employee Is Killed In Rescue Attempt With Backhoe ,Single
Electrocution, Employee Suffers Laceration To Arm While Using Saw ,Single
Electrocution, Employee Is Killed When Lacerated By Broken Glass ,Single
Electrocution, Employee Caught Between Elevator And Shaft Is Killed ,Single
Electrocution, Employee Is Exposed To Asbestos ,Single
Electrocution, Multiple Employees Are Injured In Scaffold Collapse ,Multiple
Suffocation, Employee Fractures Ankle After Jumping Off Ladder ,Single
Electrocution, Employee Is Killed When Struck By Collapsing Wall ,Single
Electrocution, Employee Is Injured In Fall While Installing Decking ,Single
Electrocution, Employee Dies When He Falls Off Ladder ,Single
Electrocution, Employee Is Injured In Fall From Ladder ,Single
Electrocution, Employee Dies After Fall From Elevated Level ,Single
Electrocution, Employee Dies After Fall Through Floor Opening ,Single
Electrocution, Employee Is Killed In Fall Through Opening In Floor ,Single
Electrocution, Employee Dies After Being Struck By Pipe And Falling ,Single
Electrocution, Employee Is Crushed And Killed By Descending Elevator Car ,Single
Collapse of object, Employee Is Killed In Fall From Roof ,Single
Falls, Employee Falls Down Elevator Shaft ,Single
Other, Demolition Potentially Exposes Employees To Asbestos ,Multiple
Collapse of object, Employee Suffered A Heart Attack ,Single
Electrocution, Employee Electrocuted During Asbestos Removal ,Single
Falls, Employee Dies From Mesothelioma ,Single
Falls, Employee Killed By Fall From Roof Framework ,Single
Collapse of object, Employee Dies When Exposed To Asbestos ,Single
Other, Ten Employees Injured By Carbon Monoxide Exposure ,Multiple
Other, Employee Suffers Head And Back Injuries In Fall ,Single
Struck By Moving Objects, Employee Killed In Fall From Elevated Platform ,Single
Struck By Moving Objects, Employee Injured In Fall From Moving Scaffold ,Single
Caught in/between Objects, Employee Injured In Fall Through Roof Decking ,Single
Caught in/between Objects, Employee'S Ankle Fractured When Struck By Falling Pipe ,Single
Struck By Moving Objects, Employee Dies Of Mesothelioma ,Single
Caught in/between Objects, Ten Employees Overexposed To Asbestos During Removal ,Multiple
Struck By Moving Objects, Electric Shock ,Single
Falls, Electric Shock ,Single
Falls, Three Employees Are Burned In Confined Space Incident ,Multiple
Struck By Moving Objects, Employee Dies From Asphyxia When Lagging Section Collapses ,Single
Collapse of object, Employee Is Engulfed By Ash Cloud  Later Dies ,Single
Collapse of object, Employee Falls Into Ash And Is Burned ,Single
Struck By Moving Objects, Employee Is Killed When Legs Are Caught In Moving Conveyor ,Single
Collapse of object, Employee Dies From Burns By Conditioned Mix Ash ,Single
Struck By Moving Objects, Employee Twists Knee When Ladder Falls Over ,Single
Collapse of object, Employee Dies Of Asphyxia When Engulfed By Fly Ash ,Single
Struck By Moving Objects, One Employee Dies  One Burned While Cleaning Out Boiler Ash ,Single
Falls, Employees Are Exposed To Fly Ash ,Multiple
Struck By Moving Objects, Two Employees Were Burned When Exposed To Ashes ,Multiple
Falls, Employee'S Legs Burned By Hot Ash ,Single
Struck By Moving Objects, Skid Steer Loader Operator Is Burned By Hot Ash  Later Dies ,Single
Struck By Moving Objects, Employee Is Burned While Cleaning Boiler ,Single
Other, Employee Burned When He Falls Into A Hopper ,Single
Other, Employees Burned By Coal Dust Explosion ,Multiple
Struck By Moving Objects, Employees Engulfed By Hot Fly Ash ,Multiple
Other, One Employee Killed  Four Injured By Steam ,Single
Other, Employee Burned By Hot Fly Ash From Collection Hopper ,Single
Falls, Employee Is Killed When Struck By Vehicle ,Single
Struck By Moving Objects, Employee Is Run Over By Dump Truck And Killed ,Single
Other, Worker Paving Highway Experiences Heat Related Illness ,Single
Struck By Moving Objects, Employee Suffers Burns When Sprayed With Asphalt ,Single
Struck By Moving Objects, Employee Suffers Burns When Hot Asphalt Spills ,Single
Electrocution, Employee Suffers Arm Fracture In Pumping Accident ,Single
Collapse of object, Paving Worker Crushes Hand When Caught In Conveyor ,Single
Collapse of object, Employee Suffers Burns Attempting To Put Out Fire ,Single
Other, Employee Suffers Two Fractured Legs Falling From Roof ,Single
Electrocution, Worker Removes Wrong Valve And Is Sprayed With Hot Asphalt ,Single
Other, Power Buggy Driver Is Catapulted  Incurs Head  Knee Injuries ,Single
Electrocution, Employee Fractures Shoulder When She Stumbles On Asphalt ,Single
Other, Roofer'S Hand And Wrist Are Burnt By Hot Asphalt ,Single
Other, Employeed Falls From Dump Truck ,Single
Falls, Worker Carrying Hot Asphalt Falls And Burns Forearm ,Single
Struck By Moving Objects, Employee Is Crushed Between Two Roller Compactors  Dies ,Single
Struck By Moving Objects, Employee Burns Hand Pouring Hot Asphalt ,Single
Struck By Moving Objects, Employee Is Killed When Caught Between Vehicle And House ,Single
Falls, Demolition Worker Is Fatally Crushed By Falling Concrete ,Single
Falls, Demolition Worker Is Killed In Trench Collapse ,Single
Other, Carpenter Is Killed In Excavation Collapse ,Single
Falls, Two Employees Are Overcome By Carbon Monoxide One Dies ,Multiple
Collapse of object, Employee Caught By Falling Iron Press Head Is Killed ,Single
Falls, Employee Is Killed When Struck By Mower ,Single
Collapse of object, Employee Drowns In Swimming Pool ,Single
Falls, Employee Is Found Dead From Asphyxiation ,Single
Other, Worker Is Killed Inside Grain Storage Silo ,Single
Electrocution, Employee Is Pinned Between Truck And Trailer And Dies ,Single
Falls, Employee Dies Of Asphyxiation When Covered By Dirt ,Single
Falls, Employee Killed When Head Is Caught In Machine ,Single
Struck By Moving Objects, Employee Dies From Smoke Inhalation ,Single
Caught in/between Objects, Employee Is Struck By Moving Machine Parts And Killed ,Single
Falls, Employee Is Killed When Mower Turns Over ,Single
Falls, Employee Drowns In Pontoon Accident ,Single
Electrocution, Employee Killed In Sand Hopper ,Single
Electrocution, Worker Found Asphyxiated In Stream ,Single
Falls, Logger Is Pinned By Rear Tire Of Rolling Skidder And Killed ,Single
Caught in/between Objects, Employee Crushes Fingertip Hooking Up Trailer ,Single
Electrocution, Employee Falls From Tree  Sustains Fractures In Arm And Ribs ,Single
Electrocution, Employee Is Struck By Falling Oven  Fractures Arm ,Single
Falls, Employee Crushes Finger When Forklift Clamp Slips ,Single
Falls, Employee Catches Thumb Between Objects And Is Amputated ,Single
Falls, Employee'S Thumb Is Crushed By Equipment  Later Is Amputated ,Single
Falls, Fall From Communication Antennae Tower Hospitalizes Three ,Multiple
Other, Employee Severely Injures Hand When Caught In Winch Hook ,Single
Falls, Employee Suffers Contusions In Fall From Beam ,Single
Falls, Employee Injured In Fall What Scaffold Rail Gives Way ,Single
Suffocation, Employee Fractures Vertebra In Fall Onto Steel Protrusion ,Single
Struck By Moving Objects, Employee'S Leg Injured When K,Single
Falls, Employee Is Struck By Load  Fractures Ankle ,Single
Struck By Moving Objects, Employee Fractures Head When Caught Between Truck And Dock ,Single
Falls, Employee Is Killed From Fire On A Bulldozer ,Single
Falls, Employee Dies In Fall From Crane Hook ,Single
Falls, Employee Killed In Fall From Aerial Lift ,Single
Other, Employee Suffers Amputation When Bobcat Bucket Falls On Him ,Single
Collapse of object, While Elevated In Truck Employee Is Shocked Suffers Burns ,Single
Electrocution, Worker Is Killed While Installing Helical Piles At Jobsite ,Single
Falls, Employee Electrocuted By Energized Plug Receptacle ,Single
Falls, Employee Falls From Roof And Is Killed ,Single
Collapse of object, Employee Is Electrocuted By Camper Electrical Plug,Single
Falls, Electric Shock ,Single
Falls, Electric Shock ,Single
Falls, Employee Injures Eye When Hit By Attachment Plug ,Single
Falls, Electric Shock ,Single
Electrocution, Electric Shock ,Single
Falls, Electric Shock ,Single
Other, Electric Shock ,Single
Electrocution, Electric Shock ,Single
Electrocution, Electric Shock ,Single
Electrocution, Electric Shock ,Single
Falls, Electric Shock ,Single
Falls, Electric Shock ,Single
Electrocution, Electric Shock ,Single
Falls, Electric Shock ,Single
Electrocution, Electric Shock ,Single
Electrocution, Employee Suffers Multple Fractures In Fall Through Attic ,Single
Falls, Worker Falls When Hatch Door Opens  Fractures Leg And Wrist ,Single
Falls, Employee Strikes Head In Fall From Attic  Later Dies ,Single
Other, Employee Is Killed In Fall From Attic Opening ,Single
Collapse of object, Employee Is Injured In Fall From Attic ,Single
Falls, Employee Is Killed In A Fall From An Attic ,Single
Suffocation, Employee Is Electrocuted By Un,Single
Other, Employee Fractures Leg In Fall ,Single
Falls, Employee'S Hip Is Fractured In Fall From Attic ,Single
Struck By Moving Objects, Worker Is Injured In Fall From Attic ,Single
Struck By Moving Objects, Worker Fractures Leg In Fall From Ladder ,Single
Falls, Employee Falls From Attic And Breaks Ribs ,Single
Struck By Moving Objects, Handyman Is Electrocuted By Contacting Energized Circuit ,Single
Struck By Moving Objects, Employee Is Electrocuted While Installing Neon Sign ,Single
Struck By Moving Objects, Employee Is Killed In Fire While Spraying Insulation ,Single
Falls, Employee Killed In Fall From Ladder ,Single
Falls, Employee Is Electrocuted While Working In Attic ,Single
Falls, Employee Is Injured In Fall Through Hatch In Attic ,Single
Falls, Employee Is Killed In Fals Through Hole In Attic ,Single
Falls, Mechanic Falls Through Attic Floor And Is Hospitaliized ,Single
Falls, Worker Is Injured When Swinging Auger Strikes His Chest ,Single
Falls, Employee Amputates Hand In Construction Equipment ,Single
Struck By Moving Objects, Employee Amputates Right Index Finger In Auger ,Single
Other, Employee Fractures Leg When Struck By Steel Frame ,Single
Collapse of object, Employee Crushes Fingertip In Auger  Later Is Amputated ,Single
Struck By Moving Objects, Employee Lacerates Finger When Caught By Extension Tool ,Single
Caught in/between Objects, Two Employee Are Killed After Carbon Monoxide Overexposure ,Single
Struck By Moving Objects, Employee'S Hand Is Struck And Impaled By Cable ,Single
Falls, Employer Is Struck And Killed By Auger ,Single
Struck By Moving Objects, Employee Is Pulled Into Machinery And Is Killed ,Single
Caught in/between Objects, Employee Is Pulled Into Machinery And Is Killed ,Single
Struck By Moving Objects, Worker Apmutates Finger In Auger Conveyor ,Single
Struck By Moving Objects, Employee Injures Finger In Auger ,Single
Struck By Moving Objects, Recycling Facility Worker Is Caught By Auger And Killed ,Single
Electrocution, Employee Amputates Arm Caught In Screw Conveyor System ,Single
Struck By Moving Objects, Employee Dies In Auger Accident ,Single
Struck By Moving Objects, Employee Dies In Pug Mill Accident ,Single
Struck By Moving Objects, Worker Loses Fingers While Cleaning Machinery ,Single
Struck By Moving Objects, Employee Loses Finger From Auger ,Single
Struck By Moving Objects, Employee'S Leg Is Amputated When Caught In Auger ,Single
Struck By Moving Objects, Employee Is Asphyxiated When Caught In Augers ,Single
Struck By Moving Objects, Employee Dies After Being Caught In Auger ,Single
Struck By Moving Objects, Chicken Processing Worker'S Hand Is Amputated By Machine ,Single
Electrocution, Employee'S Fingers Are Amputated In Auger ,Single
Struck By Moving Objects, Employee Is Killed When Clothing Is Caught In Auger ,Single
Struck By Moving Objects, Employee Is Crushed And Killed When Pinned By Truck ,Single
Struck By Moving Objects, Employee Amputates Finger In Drill Rig ,Single
Struck By Moving Objects, Employee Impales Finger On Bolt While Working On Harvester ,Single
Struck By Moving Objects, Employee Fractures Skull When Struck By Flying Wrench ,Single
Struck By Moving Objects, Employee Injured When Caught By Auger Of Digging Machine ,Single
Caught in/between Objects, Employee Killed When Caught In Snow Thrower ,Single
Struck By Moving Objects, Employee'S Finger Tip Amputated When Caught By Auger ,Single
Caught in/between Objects, Employee Amputates Finger On Beverage Machine ,Single
Struck By Moving Objects, Employee Amputates Left Hand When Caught In Mixer ,Single
Struck By Moving Objects, Employee Injured While Operating Unisul Spraying Machine ,Single
Caught in/between Objects, Employee Amputates Fingers When Caught In Mixer ,Single
Struck By Moving Objects, Employee Severely Lacerates Hand Cleaning Conveyor ,Single
Other, Employee Amputates Left Middle Finger While Ram Cycling ,Single
Struck By Moving Objects, Employee Is Killed In Baler Conveyor ,Single
Struck By Moving Objects, Employee Amputates Finger Cleaning Meat Machine ,Single
Struck By Moving Objects, Employee Amputates Fingers In Paper Slicer ,Single
Electrocution, Employee Amputates Fingers When Caught By Printer ,Single
Caught in/between Objects, Employee Amputates Finger In Bagging Machine ,Single
Struck By Moving Objects, Employee Amputates Fingertip In Filter ,Single
Electrocution, Employee Caught Between Truck Loader And Body Asphyxiates ,Single
Caught in/between Objects, Tow Truck Operator Is Injured When Struck By Auto ,Single
Struck By Moving Objects, Employee'S Hands Are Caught In Press  Finger Amputated ,Single
Electrocution, Employee'S Fingers Are Amputated By Panel Saw ,Single
Collapse of object, Employee'S Finger Is Amputated Between Belt And Pulley ,Single
Collapse of object, Employee Is Caught In Automated Drill And Killed ,Single
Struck By Moving Objects, Worker Is Killed By Falling Truck Bed ,Single
Struck By Moving Objects, Employee'S Fingers Amputated In Plywood Clipper ,Single
Struck By Moving Objects, Employee'S Tip Of Middle Finger Amputated In Punch Press ,Single
Struck By Moving Objects, Caught Foot Between Moving Conveyor Rollers ,Single
Caught in/between Objects, Driver Strikes Two Highway Maintenance Workers  Kills One ,Multiple
Collapse of object, Three Employees Sustain Burns Opening Pressurized Chamber ,Multiple
Struck By Moving Objects, Employee Is Killed When Struck By Vehicle ,Single
Caught in/between Objects, Employee Seriously Burned In Gas Explosion ,Single
Other, Employee Pinned Between Garbage Truck And Car Dies ,Single
Caught in/between Objects, Employee Suffers Fractures When Struck By Car ,Single
Falls, Gasoline Soaked Rag Ignites  Burns Auto Mechanic ,Single
Electrocution, Employee Struck And Killed By Vehicle While Landscaping ,Single
Electrocution, Employee Suffers Multiple Fractures When Struck By Carriage ,Single
Suffocation, Employee Is Killed When Struck By Tractor Trailor ,Single
Electrocution, Mechanic Pins  Fractures Wrist Between Van Chassis And Lift ,Single
Fires and Explosion, Employee Is Injured When Struck By Drunk Driver ,Single
Electrocution, Employee Fractures Hip In Fall From A Chassis ,Single
Electrocution, Employee Falls From Tire Rack  Sustains Unspecified Fracture ,Single
Struck By Moving Objects, Employee Struck By Van In Car Wash Later Dies ,Single
Electrocution, Employee Injured In Rail Fall ,Single
Electrocution, Employee Suffers Hand Injuries At Local Car Wash ,Single
Struck By Moving Objects, Employee Involved In Accident ,Single
Struck By Moving Objects, Employee Struck By Automobile Dies ,Single
Struck By Moving Objects, Worker Crushes Finger With Automotive Lift ,Single
Other, Employee Falls Down Stairs  Sustains Head Laceration ,Single
Other, Employee Burns Face And Hands While Cleaning With Solvent ,Single
Struck By Moving Objects, Vehicle In Jacks Falls And Kills Mechanic ,Single
Other, Employee Is Crushed By Vehicle And Is Killed ,Single
Other, Vehicle Mechanic Is Struck And Injured By Metal Plate ,Single
Electrocution, Truck Mechanic Develops Infection On Arm ,Single
