Cause,Title
Struck By Moving Objects, Elevator Installer Is Crushed And Killed 
Falls, Employee Falls And Strikes Head On Pipe And Is Injured 
Caught in/between Objects, Trenching Machine Catches Shirt And Pulls In Workers Arm 
Falls, Employee Is Injured In Fall Inside Elevator Shaft Later Dies 
Falls, Worker Sustains Fracture And Dislocation In Fall 
Falls, Painter Is Injured In Fall From Ladder 
Falls, Worker Dislocates Wrist In Fall From Ladder 
Falls, Worker Falls Through Hole In Roof And Breaks Wrist And Rib 
Falls, Employee Fractures Ankle In Fall From Scalfold 
Exposure to extreme temperatures, Employee Suffers Burns When Hot Water Pipe Breaks 
Falls, Foreman Is Injured In Fall While Dismantling Scaffold 
Falls, Worker On Disassembled Ladder Falls  Fractures Jaw And Wrist 
Other, Employee Is Injured When Struck By Section Of Crane 
Falls, Worker Fractures Leg When Slips And Falls Into Ditch 
Other, Employee Is Killed When Excavator Tips Over 
Other, Employee'S Neck Is Fractured Falling Down 
Struck By Moving Objects, Employee Is Pinned By Water Truck That Rolled Over 
Fires and Explosion, Employee Becomes Unconscious And Later Dies 
Fires and Explosion, Employee Is Killed In Gas Line Explosion 
Drowning, Employee Drowns When Helmet Fails While Diving Beneath Barge 
Other, Employee Becomes Ill During Underwater Training 
Falls, Bricklayer Falls From Scaffold And Fractures Neck 
Other, Employee Collapses While Walking Down Stairs  Later Dies 
Exposure to extreme temperatures, Worker Dies From Hyperthermia 
Falls, Employee Fractures Tibia In Fall From Ladder 
Electrocution, Employee Suffers Electric Shock And Falls From Ladder 
Struck By Moving Objects, Employee'S Hand Struck By Door Attachment And Injured 
Caught in/between Objects, Employee'S Finger Is Amputated By Door Opener 
Struck By Moving Objects, Employee Killed When Liver Crushed By Falling Dozer Blade 
Fires and Explosion, Employee Injured In Gas Pipeline Explosion 
Struck By Moving Objects, Employee Sustains Fractured Rib And Face In Compactor Slide 
Other, Employee'S Finger Is Amputated When Gloved Hand Is Caught In 
Struck By Moving Objects, Employee Killed When Struck By Dragline Boom 
Struck By Moving Objects, Worker'S Knee Is Fractured When Grinding Wheel Explodes 
Collapse of object, Employee Is Killed When Trench Collapses 
Falls, Employee Fractures Ribs In Fall 
Struck By Moving Objects, Employee'S Hand Injured When Struck By Flying Plug 
Struck By Moving Objects, Employee Drowns When Storm Drain Pipe Plug Fails 
Other, Employee Burned Applying Hot Paint Markers To Road 
Struck By Moving Objects, Employee Is Struck In His Head By Loose Pipe  Later Dies 
Falls, Worker Is Struck By Machine And Killed In 8
Caught in/between Objects, Employee'S Hand Is Pulled Into Machine And Amputated 
Other, Employee Injures Hand When Caught By Rotating Drill Bit 
Fires and Explosion, Employee Is Injured In Rock Fracturing Operation 
Caught in/between Objects, Employee'S Fingers Are Caught Between Rods  Amputated Later 
Other, Electric Shock & Burn 
Falls, Drill Rig Seat Breaks  Operator Falls  Dies From Concussion 
Struck By Moving Objects, Worker Is Injured When Struck By Steel Plate 
Struck By Moving Objects, Employee Struck By Falling Well Casing  Suffers Concussion 
Struck By Moving Objects, Employee Is Killed When Drilling Rig Platform Falls 
Other, Employee Is Injured When Assembling A Rat Hole Drilling Rig 
Other, Well Drilling Rig Worker'S Toes Are Crushed  Later Amputated 
Other, Employee Amputates Finger When Glove In Caught In A Drill 
Fires and Explosion, Employee Is Burned In Gas Fire 
Other, Employee Injured When Moving Drill Bit Lacerates Arm 
Other, Employee Injured When Glove Caught By Coring Bit 
Struck By Moving Objects, Well Driller Is Crushed When Pinned Between Lift Truck Parts 
Falls, Employee Is Injured In Trench Collapse 
Electrocution, Employee Is Electrocuted During Drilling Operation 
Collapse of object, Employee Is Killed When Trench Collapses 
Other, Employee Injured Working On Water Drilling Rig 
Drowning, Employee Is Killed In Fall Into Cofferdam 
Other, Employee Dies From Drug Overdose 
Other, Employees Found Dead Of Drug And Alcohol 
Falls, Employee Falls From Tower And Dies 
Caught in/between Objects, Employee Killed When Caught And Pulled Into Hoist Drum 
Falls, One Employee Killed  One Injured When Drum Hoist Fails 
Falls, Employee Killed In Fall When Knocked Off Building 
Falls, Apprentice Plumber Falls From Ladder And Incurs Fracture 
Falls, Heating And Air Conditioning Worker Is Injured In Fall 
Other, Employee Installing Ducts Falls From Ladder And Is Killed 
Falls, Employee Falls From Roof And Dies 
Falls, Employee Is Killed When Skyjack Lift Falls Over 
Falls, Employee Falls From Scissor Lift 
Falls, Employee Falls Off Ladder And Dies 
Falls, Mechanic Is Injured In Fall Through Ceiling 
Falls, Worker Dies After Falling Through Deteriorated Roof 
Struck By Moving Objects, Employee Fractures Leg When Ran Over By Dump Truck 
Struck By Moving Objects, Employee'S Foot Is Crushed When Run Over By Dump Truck 
Struck By Moving Objects, Employee Is Struck And Killed By Vehicle 
Caught in/between Objects, Employee Is Killed When Pinned Between Frame And Cab 
Struck By Moving Objects, Employee Crushes Fingers While Handling Metal Debris 
Struck By Moving Objects, Employee Is Killed When Crushed Between Cabin And Dump Bed 
Struck By Moving Objects, Employee Is Crushed When Dump Box Falls 
Struck By Moving Objects, Employee Killed When Crushed By Falling Dump Truck Bed 
Electrocution, Employee Electrocuted When Truck Body Contacts Power Line 
Struck By Moving Objects, Dump Truck Body Falls On Employee Killing Him 
Exposure to extreme temperatures, Driver Is Killed When Burned By Hot Asphalt 
Struck By Moving Objects, Employee Killed By Roll Bar When Dumper Overturns 
Struck By Moving Objects, Employee Killed When Dump Trailer Tips Back  Crushing Head 
Struck By Moving Objects, Employee Is Crushed By Overturning Dump Box 
Other, Employee Is Injured In Dump Truck Accident 
Caught in/between Objects, Employee Amputates Fingers In Tipping Dump Box Incident 
Struck By Moving Objects, Employee Is Killed By Falling K
Struck By Moving Objects, Employee Is Injured When I
Collapse of object, Employee Injured When Pinned By Shifting Trailer 
Struck By Moving Objects, Employee Is Struck By Load When Crane Tips 
Fires and Explosion, Four Employees Are Burned By Coal Dust Flash Fire 
Falls, Employee Is Killed In Fall From Scaffold 
Other, Employee Contracts Valley Fever During Tower Maintenance 
Other, Seven Employees Hospitalized For Excessive Lead Exposure 
Struck By Moving Objects, Employee Is Killed By Drunk Driver In Construction Zone 
Struck By Moving Objects, Employee Is Struck And Killed By Vehicle 
Struck By Moving Objects, Employee Killed When Struck By Drunk Driver In Work Zone 
Struck By Moving Objects, Employee Killed When Struck By Car In Work Zone 
Fires and Explosion, Burn 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock & Fall 
Electrocution, Employee Is Burned By Live Energized Equipment 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Employee Is Electrocuted While Erecting Scaffold 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Falls, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Fires and Explosion, Burn 
Other, Electric Shock 
Fires and Explosion, Burn 
Other, Burn 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Other, Burn 
Fires and Explosion, Burn 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Employee Is Killed By Electrical Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Other, Telephone Line Installer Dies Of Natural Causes 
Struck By Moving Objects, Employee Is Struck By Drill Kickback Lacerating Ear 
Falls, Employee Seriously Injured Falling Through Roof 
Struck By Moving Objects, Worker Falls From Ladder  Later Dies 
Fires and Explosion, Employee Is Burned In Electrical Arc Flash 
Other, Grader Operator Is Struck And Killed By Freight Train 
Other, Employee Fractures Leg At Constructon Site 
Struck By Moving Objects, Employee Is Killed When Struck By Track Hoe Bucket 
Struck By Moving Objects, Employee Is Killed When Struck By Excavator Bucket 
Falls, Employee Injured In Fall From Roof 
Struck By Moving Objects, Worker Is Ejected And Injured When Atv Rolls Over 
Falls, Mobile Scaffold Driver Is Injured When Scaffold Tips Over 
Other, Employee Is Burned When Hot Water Line Bursts 
Falls, Employee Injures His Elbows When Water Hose Whips Lose 
Falls, Employee Falls From Roof And Fractures Wrist And Elbow 
Falls, Worker Dies In Fall From Elevated Work Platform 
Electrocution, Worker Is Electrocuted While Working In Electrical Vault 
Other, Employee Receives Burns When Tool Hits Electrical Busbar 
Other, Employee Is Burned By Arc Flash 
Electrocution, Two Employees Suffer Burns When Caught In An Electrical Fire 
Electrocution, Employee Contacts Power Terminal And Is Electrocuted 
Electrocution, Worker Performing Electrical Demolition Is Electrocuted 
Falls, Employee Is Injured In Fall From Roof 
Fires and Explosion, Employee Sustains Burns From Arcing Electrical Component 
Struck By Moving Objects, Four Workers Sustain Cuts When Glass Meter Shatters 
Electrocution, Employee Is Killed By Electrocution 
Electrocution, Employee Falls From Ladder After Electric Shock 
Other, Employee'S Hand Is Punctured By Router 
Electrocution, Employee Is Shocked By Concrete Compactor 
Fires and Explosion, Two Painters Burned In A Flash Fire  One Dies From Injuries 
Other, Employee Amputates Thumb While Mixing Plaster 
Other, Employee Fractures Finger When Saw Blade Jams 
Other, Employee Amputates Fingers On Circular Saw Blade 
Falls, Employee Is Injured In Fall From Ladder 
Other, Employee'S Finger Is Amputated By Portable Saw 
Electrocution, Employee Electrocuted Using Router During Construction 
Electrocution, Employee Injured By Electric Shock From Hand Held Chipper 
Electrocution, Employee Is Killed By Electrical Shock 
Electrocution, Employee Is Injured By Electrical Shock  Later Dies 
Electrocution, Employee Is Electocuted From Contact With Energized Wires 
Electrocution, Electric Shock 
Electrocution, Lineman Is Electrocuted By Contact With Energized Wire 
Electrocution, Employee Suffers Electrocution When Contact 480 Volt Current 
Electrocution, Worker Searching For Electrical Fault Is Shocked 
Electrocution, Employees Suffers Burns When Shocked By Electrical Lines 
Collapse of object, Worker Is Injured When Struck By Falling Light Fixture 
Electrocution, Electrician Burned And Knocked Unconscious In Arc Blast 
Electrocution, Worker Is Electrocuted When Power Line Energizes Crane Line 
Electrocution, Worker Contacts Electrical Line And Is Electrocuted 
Electrocution, Employee Touches Frayed Wire And Is Electrocuted 
Falls, Employee Falls From Ladder And Dies 
Electrocution, Employee Lifting Telecommunication Lines  Dies 
Electrocution, Employee Receives Burns From High Voltage Line 
Electrocution, Employees In Contact With Live Electrical Parts 
Electrocution, Worker Is Electrocuted When Carrying Scaffold Support 
Collapse of object, Employee Fractures Ankle In Fall Off Elevated Platform 
Electrocution, Worker Contacts Energized Conductor And Is Electrocuted 
Electrocution, Employee Suffers Burns To Back When Shocked By Conductor 
Electrocution, Employee Suffers Burns In Electrical Accident 
Falls, Employee Is Injured In Fall From A Ladder 
Electrocution, Employee Is Electrocuted While Setting Up Ladder Later Dies 
Falls, Machine Operator Falls When Scissor Lift Overturns 
Electrocution, Worker Reversing The Polarity Of Cord Is Burned 
Other, Employee'S Finger Injured When Struck Against Circular Saw 
Other, Employee'S Finger Is Injured By Drill 
Other, Employee Crushes Finger Between Drill And Wood Frame 
Other, Employee Amputates Finger While Using Drill To Mix Material 
Other, Employee Amputated A Finger Using A Hand Drill Mixing Grout 
Falls, Employee Injures Eye After Falling From Metal Ladder 
Falls, Employee Suffers Fractures In Fall Through Hatch Opening 
Electrocution, Employee Is Injured By Electrical Shock 
Electrocution, Employee Is Electrocuted While Making Repairs 
Suffocation, Transient Man Found Dead In Construction Office 
Falls, Worker Fractures Ankle In Fall From Extension Ladder 
Suffocation, Employee Killed By Carbon Monoxide From Generator 
Electrocution, Employee Electrocuted Repairing Portable Light Tower 
Electrocution, Employee Electrocuted By Work Light In Excavation 
Electrocution, Employee Electrocuted While Repairing Portable Light Cord 
Electrocution, Employee Electrocuted By Portable Light 
Electrocution, Employee Electrocuted Unplugging Temporary Lights 
Electrocution, Employee Electrocuted While Exploring Water Leak 
Electrocution, Employee Electrocuted By Lighting Circuit In Crawl Space 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Employee Is Burned By Arc Flash 
Other, Employee'S Hands Burned By Electric Arc Flash 
Other, Employee'S Finger Amputated By Motor Housing 
Electrocution, Employee Is Electocuted And Killed While Repairing Pump 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Other, Worker Operating Power Saw Sustains Neck Laceration 
Other, Employee Finger Is Lacerated In Portable Hand Saw 
Other, Employee'S Hand Is Lacerated While Using A Skilsaw 
Other, Consruction Worker Amputates Thumb With A Skilsaw 
Other, Employee'S Middle Finger Is Amputated By Saw 
Other, Employee Cuts His Left Hand While Using Skill Saw 
Electrocution, Employee Electrocuted While Repairing Electric Screw Gun 
Electrocution, Electric Shock 
Electrocution, Electric Shock 
Electrocution, Electric Shock & Burn 
Electrocution, Electric Shock 
Electrocution, Worker Is Electrocuted While Installing Scaffold 
Electrocution, Employee Gets An Electric Shock While Fixing A Pad Mount 
Electrocution, Employee Sustains Electrical Burns 
Electrocution, Employee Is Electrocuted While Installing Sign 
Electrocution, Employee Is Electrocuted In Sign 
Electrocution, Employee Electrocuted Repairing Outdoor Lighted Sign 
Electrocution, Employee Electrocuted While Removing Light Fixtures 
Electrocution, Electric Shock 
Electrocution, Employee Suffers An Electrical Shock 
Electrocution, Employee Dies From Electrical Shock 
Electrocution, Employee Is Burned In Arc Flash Blast 
Electrocution, Employee Sustains Electric Shock 
Fires and Explosion, Worker Is Severely Burned After Short Circuit 
Fires and Explosion, Employee Suffers Flash Burn When Removing Electrical Switch 
Falls, Electrician Falls From Ladder And Fractures Both Heels 
Electrocution, Employee'S Hands Are Burned By Electric Shock 
Falls, Employee Sustains Injuries In Fall From Shoring System 
Electrocution, Employee Electrocuted In Contact With Live Junction Box 
Electrocution, Employee Suffers Cardiac Arrest During Electrical Work  Dies 
Other, Employee Is Burned In Arc Flash 
Other, Two Employees Suffer Burns In Arc Flash Explosion 
Electrocution, Employee Receives Burns And Other Injures From Flash Fire 
Electrocution, Employee Injured In Fall After Electric Shock 
Electrocution, Employee Electrocuted In Contact With Bare Conductors 
Falls, Employee Fractures Back In Fall From Collapsed Scaffold 
Other, Employee'S Arms Burned In Electrical Flash Fire 
Electrocution, Employee Electrocuted Spicing Together New Power Lines 
Falls, Employee Killed When Installing Light Fixtures 
Falls, Employee Receives Electrical Shock And Falls From Ladder 
Other, Worker Is Electrocuted While Testing Transformer 
Fires and Explosion, Two Employees Are Injured In Arc Flash Explosion 
Other, Two Workers Burned In An Arc Flash 
Falls, Employee Falls Into Manhole  Injures Back 
Electrocution, Employee Sustains Cardiac Arrest 
Electrocution, Employee Suffers Electric Shock From Underground Switchgear 
Electrocution, Employee Electrocuted Working Inside Switch Box 
Falls, Electrician Falls From Ladder And Sustains Fracture 
Falls, Worker Sustains Multiple Fractures In Fall From Ladder 
Electrocution, Employee Is Electrocuted While Working On Hvac Unit 
Electrocution, Employee Is Electrocuted While Installing Roof Shingles 
Electrocution, Employee Is Electrocuted In Attic 
Falls, Employee Falls From Ladder 
Falls, Communication Worker Sustains Fractures In Skylight Fall 
Falls, Employee Is Killed In Fall From Ladder 
Falls, Employee Falls From Elevated Platform And Is Injured 
Falls, Employee Falls From Stepladder And Scaffold And Is Injured 
Fires and Explosion, Lift Propane Tank Ruptures  Ignites And Burns Worker 
Falls, Employee Falls From Scaffold And Receives Multiple Injuries 
Falls, Tunnel Worker Sustains Sprained Ankle In Fall From Deck 
Falls, Worker Is Injured When Elevator Malfunctions And Falls 
Falls, Employee Tears Knee Ligaments In Fall Down Elevator Shaft 
Struck By Moving Objects, Employee Is Crushed By Elevator And Dies 
Falls, Drywall Installer Is Injured In Fall Down Elevator Shaft 
Falls, Drywall Installer Dies After Falling Down Elevator Shaft 
Struck By Moving Objects, Employee Is Injured During Elevator Work 
Falls, Employee Falls Into Excavation  Shatters Foot 
Falls, Driver Is Injured When Truck Rolls Down Embankment 
Struck By Moving Objects, Employee Crush In Accident Dies From Injuries 
Struck By Moving Objects, Construction Vehicle Rolls Over Embankment And Kills Driver 
Falls, Employee Fractues Leg In Fall 
Falls, Employee Falls From Bridge  Later Dies 
Falls, Employee Is Killed In Fall From Roof 
Falls, Employee Injures Knee  Later Dies Of Pulmonary Embolism 
Struck By Moving Objects, Employee Injures Back While Lifting A Patient 
Struck By Moving Objects, Employee Is Injured By Trench Compactor 
Suffocation, Two Workers Are Sent To Hospital Due To Carbon Monoxide 
Suffocation, Employee Is Killed From Inhalation Of Solvent 
Collapse of object, Employee'S Leg Amputated By End Plate Of Falling Column 
Collapse of object, Employee Suffers Head Injuries From Falling Door 
Falls, Employee Injures Knee When Buggy Crashes 
Other, Employee Entangles Foot In Cord And Is Injured 
Other, Supervisor Loses Control Of Angle Grinder And Sustains Cuts 
Other, Foreman Carpenter Is Injured While Using Unguarded Table Saw 
Electrocution, Electric Shock 
Falls, Man Basket Falls Over; Worker Dies Later 
Struck By Moving Objects, Employee Is Struck Injured By Falling Electrical Cabinet 
Falls, Employee Falls From Scaffold  Fractures Leg 
Fires and Explosion, Employee Is Burned By Gasoline Fire 
Falls, Employee Is Killed By Falling Platform 
Struck By Moving Objects, Worker'S Foot Is Fractured When Struck By Falling Machinery 
Other, Worker'S Arm Is Cut When Struck By Grinder Disc 
Falls, Workers Injured In Fall When Ladder Detaches From Building 
Electrocution, Employee Is Electrocuted While Using Hydraulic Punch 
Electrocution, Employee Suffers Electric Shock While Cutting Wire 
Electrocution, Electric Shock 
Falls, Skid Steer Operator Falls And Fractures Hip And Leg 
Struck By Moving Objects, Employee Is Struck By Asphalt Machine And Fractures Leg 
Other, Driver Fractures Skull  Dies After Forklift Rolls Off Hill 
Caught in/between Objects, Employee Suffers Fractures When Pinned Between Two Vehicles 
Struck By Moving Objects, Employee Breaks Leg While Using Hand Held Remote Moving Iron 
Falls, Employee Is Killed In Fall While Erecting Barn 
Falls, Employee Is Killed In Fall To Lower Level Concrete Slab 
Falls, Employee Is Injured In Fall From Scaffold 
Falls, Employee Dies After Fall From Scaffold 
Falls, Employee Fractures Ribs In Fall From Upper Level 
Falls, Employee Is Injured In Fall While Erecting Stair Rail 
Falls, Worker Dies In Fall From Steel Frame 
Falls, Four Employees Are Injured When Scaffold Collapses 
Collapse of object, Employee Is Killed By Falling Steel Column 
Falls, Employee Injured In Fall From Steel Structure 
Falls, Employee Fractures Back In Fall 
Struck By Moving Objects, Employee Is Struck By Loader Bucket  Later Dies 
Struck By Moving Objects, Employee'S Leg Is Injured When Toolbox Projects From Track 
Other, Employee Foot Amputated By Escalator 
Falls, Employee Is Killed In Fall From Third Floor 
Falls, Employee Is Killed In Fall From Steel Structure 
Struck By Moving Objects, Employee Is Caught By Counterweight Of Hoist And Asphyxiated 
Electrocution, Employee Electrocuted While Working In Escalator Pit 
Electrocution, Employee Electrocuted During Repair Of Escalator 
Suffocation, Suffocation 
Fires and Explosion, One Employee Killed And One Injured In Tank Explosion 
Falls, Employee Injured In Fall From Scaffold 
Collapse of object, Employee'S Hip Is Crushed By Steel Shoring Plates 
Fires and Explosion, Four Employees Burned  Five Killed In Explosion 
Collapse of object, Employee Injured In Trench Cave
Struck By Moving Objects, Employee Crushed And Killed By An Excavator 
Struck By Moving Objects, Worker'S Leg Needs Amputation When Run Over By Excavator 
Struck By Moving Objects, Worker Clearing Trees Is Struck And Killed By Falling Tree 
Suffocation, Two Employees Are Sickened When Exposed To Exhaust Fumes 
Suffocation, One Employee Killed  One Injured  By Carbon Monoxide 
Suffocation, Employee Killed By Carbon Monoxide While Sleeping In Car 
Suffocation, Employee Overcome By Carbon Monoxide From Gas
Suffocation, Employee Dies Of Carbon Monoxide Poisoning From Boiler Vent 
Struck By Moving Objects, An Overhead Exhaust Vent Falls On Worker Who Is Hospitalized 
Falls, Employee Is Killed In Fall Through Floor Opening 
Other, Two Employees Are Asphyxiated By Carbon Monoxide 
Fires and Explosion, Explosive Gases Within A Container Ignited Killing Two 
Fires and Explosion, Three Employees Are Injured When Explosive Charge Detonates 
Falls, Employee Fractures Legs In Fall From Ladder 
Falls, Painter Falls From Ladder And Fractures Wrist And Hip 
Falls, Employee Fractures Lower Back In Fall From Ladder 
Falls, Employee Falls From Roof  Later Dies 
Struck By Moving Objects, Construction Worker Blinded When Test Plug Burst 
Struck By Moving Objects, Employee Is Injured When Hit In Eye With Nail 
Falls, Employee Is Injured In Fall From Roof 
Struck By Moving Objects, Employee Sustains Head/Other Fractures After Hit By Vehicle 
Falls, Worker Sustains Multiple Fractures In Fall From Icy Roof 
Fires and Explosion, Employee Suffers Burns To The Body 
Falls, Employee Falls From Ladder And Later Dies 
Falls, Foreman Fractures Spine In Fall From Mobile Home Roof 
Falls, Worker Is Injured In A Three Story Fall From Scaffolding 
Falls, Employee Suffers Multiple Fractures From Fall From Manway 
Caught in/between Objects, Employee'S Finger Is Severed During Fan Repair 
Other, Employee Experiences Nauseau And Fatigue While Working 
Struck By Moving Objects, Employee Struck And Killed By Motor Vehicle 
Struck By Moving Objects, Employee Injured When Struck By Vehicle 
Falls, Employee Falls From Bucket 
Struck By Moving Objects, Worker Is Run Over By Forklift And His Leg Is Fractured 
Electrocution, Employee Dies In Powerline Accident 
Struck By Moving Objects, Employee Fractures Pelvis When Atv Overturns 
Falls, Employee Killed When Pushed Off Roof By Coworker 
Fires and Explosion, Employee Is Burned While Fighting Roofing Kettle Fire 
Fires and Explosion, Roofer Suffers Burns When Splashed By Hot Tar 
Falls, Employee Falls From Fire Escape  Is Killed 
Falls, Employee Killed In Four
Falls, Employee Is Killed In Fall From Fire Escape 
Falls, Employee Killed In Fall From Fire Escape 
Falls, Two Employees Injured In Fire Escape Collapse 
Falls, Employee Dies After 40 Ft Fall From Fire Escape 
Other, Employee'S Finger Tip Is Amputated By Machine 
Falls, Employee'S Foot Is Fractured By Scissor Lift 
Other, Employee Is Struck By Sprinkler System Cap  Fractures Head 
Falls, Employee Is Injured In Fall From Height 
Struck By Moving Objects, Employee Is Killed When Struck By Pipe In Vault 
Falls, Employee Dies After Fall From Ladder 
Falls, Employee Killed In Fall From Scissor Lift. 
Fires and Explosion, Employee Injured By Flash Burns When Pump Arced Over 
Falls, Employee Killed When Pipe Contacted Power Line 
Falls, Worker Inspecting Fire Extinguishers Dies After Fallling 
Falls, Employee Slips From Scaffold During Descent And Is Injured 
Fires and Explosion, Employee Dies In Smoke Stack Fire 
Fires and Explosion, Employee Dies In Gas Line Explosion 
Falls, Employee Falls From Fixed Ladder And Is Injured 
Collapse of object, Employee'S Foot Is Struck By Ladder  Receives Fractures 
Struck By Moving Objects, Worker Is Struck By Vehicle And Her Shoulder Is Fractured 
Struck By Moving Objects, Employee Is Struck By Truck  Later Dies 
Struck By Moving Objects, Employee Is Killed By Backing Pick Up Truck 
Struck By Moving Objects, Employee Is Killed After Hit By Vehicle 
Struck By Moving Objects, Employee Is Killed When Run Over By Truck 
Struck By Moving Objects, Employee Is Killed When Struck By Truck 
Struck By Moving Objects, Employee Is Struck By Automobile  Later Dies 
Struck By Moving Objects, Employee Is Killed When Run Over By Truck 
Struck By Moving Objects, Employee Is Killed When Struck By Motor Vehicle 
Struck By Moving Objects, Employee Dies After Being Run Over Twice By Trailer 
Fires and Explosion, Foreman Is Burned When Fuel Ignites During Machine Refueling 
Fires and Explosion, Employee Sustains Multiple Burns While Spraying Coating 
Fires and Explosion, Employee Is Burned When Leaking Lp Gas Ignites 
Fires and Explosion, Employee Sustains Burns In Electric Arc Flash 
Caught in/between Objects, Employee'S Hand Crushed By Falling Flatbed Rail Car 
Struck By Moving Objects, Employee Fractures Leg When Struck By Duck Jack 
Falls, Employee Falls 16 Feet To The Ground 
Falls, Laborer Falls 12 Feet To Concrete Ground Through Floor Hole 
Falls, Employee Is Injured In Fall Through Floor Opening 
Struck By Moving Objects, Employee Is Injured When Scissor Lift Falls Through Drywall 
Falls, Employee Is Injured In Fall Through Hole In Floor 
Falls, Employee Is Injured In Fall From First Floor Level 
Falls, Employee Is Injured In Fall Through Hole In Floor 
Falls, Employee Is Injured In Fall Through Hole In Roof 
Falls, Carpenter Is Injured In Fall Through Covered Hole 
Falls, Employee Is Injured In Fall Through Bar Grating Floor 
Falls, Employee Is Killed In Fall Through Unguarded Hole In Floor 
Falls, Worker Is Seriously Injured In Fall Through Floor Opening 
Falls, Employee Falls Through Opening And Fractures Spine And Heel 
Falls, Employee Fractures Face In Fall Through Floor Opening 
Falls, Employee Fingers Are Crushed In Fall  Later Amputated 
Falls, Construction Worker Is Injured In Fall 
Falls, Employee Dies After A Fall Through A Floor Opening 
Falls, Employee Is Injured In Fall Through Well Opening 
Collapse of object, Two Employees Die Of Asphyxia When Buried By Sand 
Caught in/between Objects, Employee Asphyxiated When Buried After Fall Into Gravel Bin 
Falls, Employee Suffers Fractures In Fall From Roof 
Fires and Explosion, Employee Is Struck By Flying Lid  Later Dies 
Struck By Moving Objects, Employee Fractures Feet When Caught Between Box And Pipe 
Falls, Employee Fractures His Hip After Falling From A Ladder 
Other, Employee Falls While Carrying Hot Tar And Is Burned 
Falls, Employee Is Killed In Fall From Elvated Height 
Collapse of object, Employee Is Injured When Retaining Wall Collapses 
Collapse of object, Employee Is Killed In Footing Collapse 
Collapse of object, Employee Is Killed In Excavation Cave
Collapse of object, Employee Is Injured When Struck By Loose Footing 
Falls, Employee Is Injured To Head In Fall From Ladder 
Falls, Employee Working As A Roofer Falls 15 Ft After Fosig Footing 
Falls, Employee Falls From Ladder And Is Injured 
Falls, Employee Falls To Floor 
Falls, Painter Falls And Fractures Hand And Cuts Forehead 
Falls, Painter Is Injured In Fall From Unstable Ladder 
Falls, Roof Worker Sustains Multiple Injuries In Fall From Ladder 
Falls, Employee Injures Forehead In Fall 
Other, Employee Is Killed At Work Site  Possible Heart Attack 
Falls, Employee Is Injured In Fall From Roof 
Exposure to extreme temperatures, Construction Worker Dies Of Heat Stroke 
Other, Employee'S Fingers Amputated In Roll Forming Machine 
Falls, Employee Was Ejected From An Out
Falls, Employee Fractures Leg In Fall From Roof 
Falls, Employee Falls And Fractures Back 
Falls, Employee Injures Back In Fall While Dismantling 
Falls, Employee Is Killed In Fall Through Old Roof 
Falls, Employee Fractures Ankle In Fall From Scaffold 
Other, Employee'S Hands Are Burned By Leaking Freon 
Suffocation, Employee Is Killed While Replacing Heat Pump 
Suffocation, Employee Dies Of Asphyxia 
Struck By Moving Objects, Employee Is Struck By Falling Wood Posts And Later Dies 
Struck By Moving Objects, Employee Crushes Toe By Skid Steer Bucket And Is Amputated 
Struck By Moving Objects, Employee Fractures Foot When Struck By Broken Concrete 
Falls, Employee Is Injured In Front Loader Rollover 
Struck By Moving Objects, Employee Is Killed When Run Over By Front End Loader 
Falls, Pipe Being Loaded Onto Truck Falls And Injures Worker 
Struck By Moving Objects, Employee Is Injured In Accident Involving Front End Loader 
Falls, Employee Is Injured In Fall From Ladder 
Falls, Employee Killed In Fall From Icy Roof 
Other, Employee Injured In Jump Down Roadbank To Avoid Truck 
Falls, Employee Injured In Fall From Roof After Slipping On Ice 
Falls, Employee Injured In Fall When Ramps Move During Off Loading 
Falls, Employee Injured In Fall From Roof After Slipping On Ice 
Other, Employee Dies From Drowning 
Falls, Employee Injured In Fall From Icy Roof 
Fires and Explosion, Employee Is Burned In Boiler Explosion  Later Dies 
Caught in/between Objects, Employee Is Injured When Struck By Excavation Wall 
