Cause,Title
Other,employee experience nauseau fatigue working
Struck By Moving Objects,employee struck killed motor vehicle
Struck By Moving Objects,employee injured struck vehicle
Falls,employee fall bucket
Struck By Moving Objects,worker run forklift leg fractured
Electrocution,employee dy powerline accident
Struck By Moving Objects,employee fracture pelvis atv overturn
Falls,employee killed pushed roof coworker
Fires and Explosion,employee burned fighting roofing kettle fire
Fires and Explosion,roofer suffers burn splashed hot tar
Falls,employee fall fire escape killed
Falls,employee killed four
Falls,employee killed fall fire escape
Falls,employee killed fall fire escape
Falls,two employee injured fire escape collapse
Falls,employee dy 40 ft fall fire escape
Other,employee finger tip amputated machine
Falls,employee foot fractured scissor lift
Other,employee struck sprinkler system cap fracture head
Falls,employee injured fall height
Struck By Moving Objects,employee killed struck pipe vault
Falls,employee dy fall ladder
Falls,employee killed fall scissor lift
Fires and Explosion,employee injured flash burn pump arced
Falls,employee killed pipe contacted power line
Falls,worker inspecting fire extinguisher dy fallling
Falls,employee slip scaffold descent injured
Fires and Explosion,employee dy smoke stack fire
Fires and Explosion,employee dy gas line explosion
Falls,employee fall fixed ladder injured
Collapse of object,employee foot struck ladder receives fracture
Struck By Moving Objects,worker struck vehicle shoulder fractured
Struck By Moving Objects,employee struck truck later dy
Struck By Moving Objects,employee killed backing pick truck
Struck By Moving Objects,employee killed hit vehicle
Struck By Moving Objects,employee killed run truck
Struck By Moving Objects,employee killed struck truck
Struck By Moving Objects,employee struck automobile later dy
Struck By Moving Objects,employee killed run truck
Struck By Moving Objects,employee killed struck motor vehicle
Struck By Moving Objects,employee dy run twice trailer
Fires and Explosion,foreman burned fuel ignites machine refueling
Fires and Explosion,employee sustains multiple burn spraying coating
Fires and Explosion,employee burned leaking lp gas ignites
Fires and Explosion,employee sustains burn electric arc flash
Caught in/between Objects,employee hand crushed falling flatbed rail car
Struck By Moving Objects,employee fracture leg struck duck jack
Falls,employee fall 16 foot ground
Falls,laborer fall 12 foot concrete ground floor hole
Falls,employee injured fall floor opening
Struck By Moving Objects,employee injured scissor lift fall drywall
Falls,employee injured fall hole floor
Falls,employee injured fall first floor level
Falls,employee injured fall hole floor
Falls,employee injured fall hole roof
Falls,carpenter injured fall covered hole
Falls,employee injured fall bar grating floor
Falls,employee killed fall unguarded hole floor
Falls,worker seriously injured fall floor opening
Falls,employee fall opening fracture spine heel
Falls,employee fracture face fall floor opening
Falls,employee finger crushed fall later amputated
Falls,construction worker injured fall
Falls,employee dy fall floor opening
Falls,employee injured fall well opening
Collapse of object,two employee die asphyxia buried sand
Caught in/between Objects,employee asphyxiated buried fall gravel bin
Falls,employee suffers fracture fall roof
Fires and Explosion,employee struck flying lid later dy
Struck By Moving Objects,employee fracture foot caught box pipe
Falls,employee fracture hip falling ladder
Other,employee fall carrying hot tar burned
Falls,employee killed fall elvated height
Collapse of object,employee injured retaining wall collapse
Collapse of object,employee killed footing collapse
Collapse of object,employee killed excavation cave
Collapse of object,employee injured struck loose footing
Falls,employee injured head fall ladder
Falls,employee working roofer fall 15 ft fosig footing
Falls,employee fall ladder injured
Falls,employee fall floor
Falls,painter fall fracture hand cut forehead
Falls,painter injured fall unstable ladder
Falls,roof worker sustains multiple injury fall ladder
Falls,employee injures forehead fall
Other,employee killed work site possible heart attack
Falls,employee injured fall roof
Exposure to extreme temperatures,construction worker dy heat stroke
Other,employee finger amputated roll forming machine
Falls,employee ejected
Falls,employee fracture leg fall roof
Falls,employee fall fracture back
Falls,employee injures back fall dismantling
Falls,employee killed fall old roof
Falls,employee fracture ankle fall scaffold
Other,employee hand burned leaking freon
Suffocation,employee killed replacing heat pump
Suffocation,employee dy asphyxia
Struck By Moving Objects,employee struck falling wood post later dy
Struck By Moving Objects,employee crush toe skid steer bucket amputated
Struck By Moving Objects,employee fracture foot struck broken concrete
Falls,employee injured front loader rollover
Struck By Moving Objects,employee killed run front end loader
Falls,pipe loaded onto truck fall injures worker
Struck By Moving Objects,employee injured accident involving front end loader
Falls,employee injured fall ladder
Falls,employee killed fall icy roof
Other,employee injured jump roadbank avoid truck
Falls,employee injured fall roof slipping ice
Falls,employee injured fall ramp move loading
Falls,employee injured fall roof slipping ice
Other,employee dy drowning
Falls,employee injured fall icy roof
Fires and Explosion,employee burned boiler explosion later dy
Caught in/between Objects,employee injured struck excavation wall
Struck By Moving Objects,two employee injured pinned backhoe truck
Struck By Moving Objects,employee killed struck fuel truck
Struck By Moving Objects,employee injured struck fuel truck
Suffocation,three employee suffer carbon monoxide poisoning
Falls,employee dy injury received fall
Struck By Moving Objects,employee killed mobile gantry crane overturn
Fires and Explosion,employee burned leaked gas ignites
Suffocation,two employee killed toxic gas confined space
Suffocation,employee dy exposure phenol
Struck By Moving Objects,employee injured face cap blow
Struck By Moving Objects,employee injured caught truck concrete pipe
Other,employee burned hot asphalt kettle gasket fails
Struck By Moving Objects,employee struck vehicle killed
Struck By Moving Objects,employee killed struck telephone pole
Falls,employee killed fall tower
Falls,fall tower injures employee
Falls,employee killed fall tower
Falls,employee killed fall communication tower
Struck By Moving Objects,three employee killed crushed falling tower
Caught in/between Objects,bridge inspector killed pinned machine
Struck By Moving Objects,employee fall bridge girder killed
Falls,employee injured collapse building material
Falls,employee killed fall elevation
Collapse of object,employee ejected aerial killed
Falls,employee injured fall beam bridge building
Falls,employee killed fall steel girder
Collapse of object,employee killed collapse bridge construction
Struck By Moving Objects,construction employee struck falling girder
Struck By Moving Objects,ironworker leg injured struck beam
Struck By Moving Objects,employee killed struck sheet glass
Struck By Moving Objects,employee injured pinned stack glass
Other,employee injured falling crate glass
Struck By Moving Objects,employee injures hand roof curb
Other,employee amputates finger planing machine
Falls,employee fall roof later dy
Falls,employee slip fall floor joist
Falls,worker fracture skull falling golf cart
Struck By Moving Objects,employee injured run motor grader
Struck By Moving Objects,employee struck killed road grader
Struck By Moving Objects,employee hand injured crush drum roller
Struck By Moving Objects,employee killed hit road grader
Falls,employee killed backover highway milling machine
Struck By Moving Objects,employee killed run motor grader
Struck By Moving Objects,employee run grader killed
Struck By Moving Objects,construction worker struck killed dirt scraper
Falls,employee injured grain elevator collapse
Falls,worker killed fall elevated work surface
Falls,one employee dy one injured fall
Caught in/between Objects,highway inspector sustains partial amputation thumb
Fires and Explosion,welder killed crushed exploding tank
Other,employee injures leg grinder tool slip
Struck By Moving Objects,employee finger injured grinding disc fails
Electrocution,worker electrocuted killed repairing arc welder
Electrocution,electric shock
Other,employee injured measuring joist
Fires and Explosion,two employee burned arc flash grounding fault
Electrocution,employee electrocuted removing ground cable
Electrocution,employee electrocuted ground wire
Electrocution,shock burn
Falls,construction worker injured 20 ft fall scaffolding
Falls,employee fall scaffold killed
Falls,painter fall scaffold fracture skull wrist
Struck By Moving Objects,employee crush hand piping accident
Struck By Moving Objects,employee struck gaurdrails fall flatbed dy
Struck By Moving Objects,employee injures knee shot nail gun
Struck By Moving Objects,telecommunication worker killed fall aerial lift
Struck By Moving Objects,worker killed tree
Falls,employee injured fall tower later dy
Electrocution,employee electrocuted contact energized guy line
Other,employee killed guy aerial lift bucket
Struck By Moving Objects,employee killed pinned excavation loader
Struck By Moving Objects,employee killed run rolling dump truck
Struck By Moving Objects,employee killed run rolling truck
Struck By Moving Objects,employee injured struck rolling forklift
Struck By Moving Objects,employee killed pinned forklift excavator
Electrocution,two employee injured electric shock
Struck By Moving Objects,employee killed crushed rolling truck
Struck By Moving Objects,employee killed crushed forklift trailer
Struck By Moving Objects,employee killed run unmanned truck
Struck By Moving Objects,employee toe amputated loading machine
Other,employee killed caught lift beam
Other,roofer injured staple gun puncture knee
Other,employee amputates thumb skilsaw slip
Caught in/between Objects,employee arm amputated dock plate
Other,employee amputates finger using come
Falls,employee fall ladder
Other,employee killed crushed cinder block joist
Struck By Moving Objects,employee injured hit come
Struck By Moving Objects,employee sprained wrist snapped cable
Collapse of object,employee back injured fall come
Falls,employee killed fall next level
Struck By Moving Objects,employee killed winch setup fails
Falls,employee fall stair later dy
Falls,employee killed fall water tank
Falls,worker injured fall climbing stair
Caught in/between Objects,employee skin finger landscape project
Struck By Moving Objects,worker head injured falling bag insulation
Struck By Moving Objects,employee killed struck tractor trailer
Struck By Moving Objects,employee killed struck head scaffold plank
Falls,employee fall roof fracture spine
Falls,employee killed fall roof hatch
Falls,employee fracture leg fall roof hatch
Falls,employee injured fall hatch opening
Exposure to extreme temperatures,employee suffered heat exhaustion high temperature
Falls,employee fall opening sustains fracture
Falls,employee struck headache ball fall later dy
Struck By Moving Objects,employee arm fractured falling headache ball
Falls,three employee killed fall tower site
Struck By Moving Objects,employee killed hit headache ball falling crane
Falls,employee injured fall
Falls,employee injured fall structural beam
Other,employee puncture leg nail gun
Struck By Moving Objects,excavator driver back kill employee
Falls,employee fall onto concrete fracture head
Struck By Moving Objects,employee killed run motor grader
Fires and Explosion,one employee killed one coworker injured arc flash
Falls,employee injured fall ladder
Falls,worker installling flue killed fall ladder
Other,employee amputates finger cleaning hvac unit
Exposure to extreme temperatures,drywall worker suffers heat exhaustion
Other,electrician working outside dy heat
Other,employee hospitalized heat stroke
Electrocution,employee electrocuted repairing water heater
Other,employee burned paint explodes
Collapse of object,employee killed concrete form collapse
Falls,plumber injured fall floor opening
Electrocution,employee dy possible electrocution
Falls,fall
Suffocation,one employee killed one injured confined space
Caught in/between Objects,employee sustains hernia climbing roller
Falls,employee injured fall scaffold
Falls,employee injured fall climbing scissor lift
Fires and Explosion,employee burned hexane vapor ignite
Fires and Explosion,employee killed explosion natural gas pipeline
Struck By Moving Objects,employee injured struck pressurized water
Struck By Moving Objects,plumber struck face flying object loses eye
Falls,employee killed fall roof
Struck By Moving Objects,falling wall kill two employee injures third
Struck By Moving Objects,falling wall kill two employee injures third
Struck By Moving Objects,employee fatally struck tractor trailer
Struck By Moving Objects,three employee struck vehicle two later dy
Struck By Moving Objects,employee struck killed highway work zone
Struck By Moving Objects,employee killed struck vehicle
Other,employee injures hip pile plank fall
Falls,employee injured falling ladder
Falls,employee injured forklift tip pronounced dead
Falls,employee fall elevator shaft break pelvis
Struck By Moving Objects,employee killed falling sandbag roof top
Struck By Moving Objects,employee amputated toe running line hoist tower
Caught in/between Objects,employee foot caught nip point later amputated
Falls,employee killed fall preparing sling move mold
Falls,construction worker killed fall roof
Falls,employee killed fall hoist line break
Struck By Moving Objects,employee struck injured falling hopper
Caught in/between Objects,employee crushed killed street sweeper hopper door
Struck By Moving Objects,employee struck killed road grader
Struck By Moving Objects,employee killed backed road grader
Drowning,two employee drown swwim across retention pond
Struck By Moving Objects,employee injured struck head falling metal gate
Falls,two employee injured fall elevated platform
Falls,employee injured fall trench
Falls,employee killed fall moving vehicle
Struck By Moving Objects,employee killed crushed forklift
Other,employee hand injured nail gun
Other,employee burned face neck hot asphalt
Other,employee hospitalized hot asphalt burn
Other,employee leg burned fractured fall asphalt
Other,employee burned spilled asphalt
Other,employee sustains burn struck hot asphalt
Falls,employee hand burned hot tar
Falls,employee burn hand bucket hot asphalt
Falls,employee burned hot asphalt repairing roof
Falls,employee burned hot tar
Falls,employee burned hot tar
Other,employee hand burned hot tar
Other,employee fall burned hot tar
Exposure to extreme temperatures,employee arm burnt hot tar
Falls,employee dy fall elevation
Other,employee sustains burn hand arm hot tar spill
Falls,employee burned hot tar roofing job
Falls,employee killed fall roof
Other,employee injured sprayed hot tar
Exposure to extreme temperatures,employee suffers burn sprayed hot water
Falls,worker sustains concussion fall ladder
Falls,employee killed fall wall
Falls,employee injured 25
Caught in/between Objects,employee hand crushed truck mounted crane boom
Struck By Moving Objects,employee struck hold valve killed
Struck By Moving Objects,employee killed elevator fall
Struck By Moving Objects,employee injured repairing elevator
Struck By Moving Objects,employee injured pinned paver wall
Fires and Explosion,employee burned fire ball
Struck By Moving Objects,employee killed crushed falling elevator
Collapse of object,employee injured falling motor home later dy
Other,employee amputates pinky finger lifting jack
Falls,employee fall platform suffers multiple injury
Falls,worker fall pile driver sustains two leg fracture
Other,employee fracture hip excavator strike
Collapse of object,employee killed trench cave
Struck By Moving Objects,hose exploded hitting employee chest
Caught in/between Objects,employee killed crushed dump truck bed
Caught in/between Objects,employee injures hand aligning ram ram yoke paver
Falls,one employee killed hydraulic platform collapse
Struck By Moving Objects,worker installing hydraulic trench shore amputates finger
Struck By Moving Objects,employee crushed falling hydraulic hammer
Other,employee injured mistakenly drink acid
Collapse of object,employee burned hydraulic fluid
Other,employee killed ingesting toxic chemical
Suffocation,two employee die hydrogen sulfide gas sewer
Other,employee overcome hydrogen sulfide
Suffocation,four employee exposed hydrogen fluoride gas
Suffocation,four employee exposed hydrogen fluoride gas
Suffocation,employee dy overexposure hydrogen sulfide gas
Fires and Explosion,four employee injured explosion confined space
Suffocation,two employee suffocate manhole accident
Fires and Explosion,employee suffer burn sealer stain blocker explodes
Fires and Explosion,employee killed explosion flash fire
Fires and Explosion,employee killed tank explosion
Fires and Explosion,employee burned fire
Fires and Explosion,employee burned fuel ignites hot chain saw
Fires and Explosion,two employee injured one killed gas explosion
Other,employee puncture hand using nail gun
Falls,crane operator ejected cab impaled rebar
Other,employee shoot leg pneumatic nail gun
Other,worker moving furniture sustains infected shoulder
Caught in/between Objects,worker thumb amputated falling particle board
Electrocution,electric shock
Electrocution,electric shock
Electrocution,electric shock
Electrocution,electric shock
Electrocution,electric shock
Electrocution,electric shock
Electrocution,electric shock
Electrocution,electric shock
Electrocution,electric shock
Electrocution,electric shock
Falls,employee injured fall metal decking
Struck By Moving Objects,employee injured struck cinder block later dy
Suffocation,employee suffers respiratory failure welding
Electrocution,employee lacerates thumb shocked energized wire
Fires and Explosion,employee burned electrical arc circuit breaker panel
Electrocution,employee burned arc flash repair hvac pump switch
Electrocution,employee burned short circuit cause fire
Electrocution,employee burned arc flash switchboard
Electrocution,employee burned arc flash working circuit panel
Electrocution,employee electrocuted replacing light fixture
Other,employee burned arc flash plier contact busbar
Electrocution,employee burned wrench strike energized busbar
Electrocution,employee burned arc flash electrical line
Falls,employee fall framing stairwell
Exposure to extreme temperatures,employee died burned demolition
Electrocution,employee injured power line energized
Struck By Moving Objects,employee injured finger caught unguarded belt
Electrocution,electric shock
Falls,employee injured 11 ft fall stairwell landing
Struck By Moving Objects,employee fracture leg caught truck container
Struck By Moving Objects,employee struck shipping container later dy
Struck By Moving Objects,intoxicated motorist kill worker setting sign
Struck By Moving Objects,employee marking pavement killed drunk driver
Suffocation,worker dy methylene chloride intoxication
Struck By Moving Objects,employee killed vehicle crash
Falls,employee fracture chest fall floor opening
Falls,employee injured fall rebar cage
Struck By Moving Objects,employee finger amputated flange beam fall
Caught in/between Objects,apprentice iron worker injured erecting beam
Falls,one employee killed employee injured fall
Struck By Moving Objects,employeefracturesleg pinned steel beam ground
Falls,worker dy fall roof
Falls,employee chest fractured fall
Falls,ironworker killed fall lift boom
Struck By Moving Objects,employee killed struck falling beam
Struck By Moving Objects,worker dy run tractor backhoe
Falls,worker injures back fall trench
Collapse of object,employee killed trench cave
Suffocation,employee suffers acute inhalation injury isocyanate
Struck By Moving Objects,employee injured struck falling bobcat bucket
Other,jackhammer operator dy heart attack
Other,employee cut finger jackhammer
Collapse of object,one employee killed one injured trench collapse
Struck By Moving Objects,employee struck head rebar later dy
Fires and Explosion,employee suffers burn gas explosion
Collapse of object,employee killed struck falling concrete
Exposure to extreme temperatures,employee suffers heat exhaustion dehydration
Fires and Explosion,employee burned arc flash drill bit contact conduct
Other,employee fracture toe using jackhammer
Struck By Moving Objects,employee struck killed jib falling crane
Caught in/between Objects,employee injures hand mobile crane
Collapse of object,employee killed jib strike
Struck By Moving Objects,employee killed struck
Struck By Moving Objects,employee struck jib crushed wall later dy
Struck By Moving Objects,employee killed struck jib crane
Struck By Moving Objects,employee killed struck falling jib
Struck By Moving Objects,construction employee killed falling crane boom
Falls,carpenter sustains fracture fall
Falls,employee injured wrist fall top plate
Falls,employee injured fall joist later dy
Falls,employee injured fall beam
Collapse of object,employee killed struck falling joist
Drowning,employee drowns caught capsizing barge
Falls,employee killed locomotive crash
Struck By Moving Objects,employee involved accident jump starting truck
Struck By Moving Objects,employee run killed backhoe
Other,employee injured struck truck jump start
Caught in/between Objects,employee finger caught machinery amputated
Other,employee sustains partial finger amputation saw
Other,employee injures thumb saw accident
Struck By Moving Objects,employee injured hit vehicle
Other,employee injured felling tree
Struck By Moving Objects,employee struck falling object receives injury
Falls,employee fall roof rupture kidney
Falls,employee injured fall scaffold
Falls,employee fall kiln manhole dy
Collapse of object,worker fall garage roof seriously injured
Falls,roofer fracture ankle 16 ft fall roof
Other,employee amputates finger saw
Fires and Explosion,employee injured flash fire spray painting
Fires and Explosion,employee burned flammable liquid fire
Fires and Explosion,painter burned flammable thinner ignites
Suffocation,two employee killed one made unconscious lacquer fume
Fires and Explosion,one employee killed one injured flash fire
Fires and Explosion,one employee dy burned fire
Fires and Explosion,employee injured truck chemical ignite
Fires and Explosion,employee burn hand arm cutting acetylene torch
Exposure to extreme temperatures,employee killed lacquer vapor ignite
Fires and Explosion,two employee injured flash fire
Fires and Explosion,employee burned killed explosion
Fires and Explosion,employee killed lacquer vapor ignite
Fires and Explosion,employee burned paint booth explodes
Falls,two employee bruised fall ladder fails
Falls,employee broke knee cap 16 foot fall roof
Falls,employee fracture hip fall ladder
Falls,employee pierced reinforcing rod fall ladder
Falls,employee fall ladder
Falls,employee dy fall ladder jack scaffold walk board
Falls,worker sustains contusion fall ladder jack scaffold
Falls,employee injured ladder jack scaffold collapse
Falls,employee fracture ankle fall scaffolding
Falls,employee fall ladder jack scaffold hospitalized
Falls,carpenter injured fall ladder
Falls,employee injured pump jack scaffold collapse
Falls,employee killed fall ladder jack scaffold
Falls,employee suffers cardiac arrhythmia fall dy
Falls,employee fracture arm fall scaffolding
Falls,employee fall ladder jack scaffold
Falls,employee injured fall scaffold
Falls,employee fracture pelvis fall ladderjack scaffold
Falls,four employee injured ladder jack scaffold collapse
Falls,employee fracture foot fall ladder jack scaffold
Struck By Moving Objects,employee fracture leg debris fall truck
Collapse of object,employee killed trench cave
Caught in/between Objects,worker dy arm get caught conveyor belt
Falls,employee fracture rib fall transmission tower
Falls,worker killed boom lift fall
Falls,employee fell 3rd floor
Struck By Moving Objects,employee killed crushed manlift
Falls,employee fall elevation
Other,employee died sepsis
Struck By Moving Objects,employee struck horizontal beam
Falls,framing worker fall building sustains fracture
Falls,employee fall unguarded edge receives injury
Falls,employee fall 21 foot steel decking
Falls,employee injured fall edge building
Collapse of object,employee injured fall collapsed deck
Falls,employee fall roof fracture pelvis
Falls,employee injured fall roof
Falls,fall injures employee
Falls,employee dy falling roof
Falls,employee killed fall roof
Falls,employee killed fall elevation
Falls,employee killed fall roof
Falls,employee injured fall roof edge
Falls,construction employee killed fall
Falls,employee killed fall open floor deck
Falls,employee killed fall roof deck
Other,employee dy respiratory failure
Drowning,employee apparently drowns falling river
Drowning,employee fall boat drowns mississippi river
Falls,two employeesinjured fall scaffold sewer digester
Falls,employee die fall roof
Falls,employee killed fall 27 ft roof
Falls,employee injured paralyzed fall decking
Falls,employee killed fall tubular welded scaffold
Falls,employee killed fall bridge
Falls,employee fall suspended scaffold
Falls,employee fall setting truss fracture wrist
Struck By Moving Objects,employee injured struck metal frame
Falls,employee injured fall construction site
Electrocution,employee fall electrocuted live circuit
Electrocution,electric shock fall
Electrocution,worker electrocuted reattaching live cable
Electrocution,electric shock fall
Electrocution,employee electrocuted installing landscaping light
Electrocution,employee electrocuted wiring ceiling fixture
Electrocution,employee shocked stripping energized cable later dy
Electrocution,employee electrocuted installing light fixture
Electrocution,employee electrocuted installing light fixture ceiling
Falls,employee injured fall ladder electric shock
Electrocution,employee shocked working industrial light fixture
Electrocution,employee injured fall ladder electric shock
Electrocution,employee electrocuted installation light fixture
Falls,employee injured fall ladder electric shock
Electrocution,employee electrocuted rewiring light fixture
Electrocution,one employee killed one injured lightning strike
Falls,five employee injured fall elevated load
Electrocution,employee dy struck lightning
Electrocution,two employee injured lightning one later dy
Other,employee killed lightning strike
Electrocution,employee killed struck lightning
Falls,electric shock
Struck By Moving Objects,employee killed struck transport truck
Falls,employee dy aerial lift tip
Falls,one employee killed second injured mast platform fell
Collapse of object,employee dy excavation collapse
Other,employee killed high pressure hose fitting fails
Struck By Moving Objects,employee killed struck flying pipe
Struck By Moving Objects,employee injured flying pipe fitting later dy
Struck By Moving Objects,employee killed struck flying valve pipe
Other,employee killed struck flying pipe section
Other,employee burned hot tar spray delivery pipe
Electrocution,employee electrocuted work electrical cabinet
Electrocution,electric shock
Electrocution,electric shock burn
Struck By Moving Objects,employee killed caught aerial lift beam
Other,employee injured pinned lift ceiling
Struck By Moving Objects,employee injured loader arm skid steer
Struck By Moving Objects,tie binder slip strike worker fracture jaw
Struck By Moving Objects,employee injured load fall truck
Struck By Moving Objects,employee struck throat load binder handle
Falls,apprentice electrician fall ladder fracture ankle
Caught in/between Objects,employee injured load dropped foot
Caught in/between Objects,employee killed disassembling crane
Falls,employee killed fall telecom tower
Electrocution,electric shock
Falls,employee fall sustains fracture loses consciousness
Struck By Moving Objects,employee killed struck front end loader
Struck By Moving Objects,employee killed struck bucket skidsteer
Struck By Moving Objects,employee killed crushed loader dump truck
Struck By Moving Objects,employee injured backhoe fall edge trailer
Collapse of object,employee injured excavation cave
Falls,employee dy injury fall loader bucket
Drowning,employee killed bobcat overturn swimming pool
Other,employee struck head backhoe operation dy
Struck By Moving Objects,employee injured backhoe overturn
Other,employee fracture leg run skip loader
Struck By Moving Objects,employee killed struck loader
Struck By Moving Objects,employee killed struck backhoe
Struck By Moving Objects,employee killed crushed backhoe bucket wall
Other,employee injured struck metal loader tooth
Other,worker leg struck fractured falling shield
Struck By Moving Objects,employee injured pinned backing truck
Struck By Moving Objects,employee struck killed boom crane
Struck By Moving Objects,employee injured struck excavator bucket
Collapse of object,employee fall ladder working
Falls,employee injured falling ladder
Struck By Moving Objects,employee killed crushed locomotive
Struck By Moving Objects,employee finger amputated struck falling object
Struck By Moving Objects,employee killed felling tree
Struck By Moving Objects,employee killed struck tree loaded truck
Falls,employee fall roof fracture wrist
Falls,employee fall scaffold later dy
Struck By Moving Objects,employee killed loses control vehicle
Other,employee injured vehicle rollover fracture foot
Other,employee injured vehicle rollover fracture leg
Fires and Explosion,employee burned lighting hot asphalt kettle
Falls,employee fall roof
Falls,worker fall second floor fracture pelvis spine
Struck By Moving Objects,employee struck stack drywall
Other,employee hand lacerated skill saw kick back
Other,worker thumb amputated operates saw
Caught in/between Objects,carpenter us table saw improperly finger amputated
Struck By Moving Objects,employee finger smashed plank
Falls,employee dy fall elevated level
Struck By Moving Objects,employee killed struck falling lumber
Falls,worker sustains multiple serious injury fall roof
Falls,worker fall scaffold ladder sustains injury
Collapse of object,employee killed rebar mat collapsed
Falls,employee injured fall manhole
Falls,employee dy fall underground pit
Falls,employee injured fall manhole sewer pit
Suffocation,employee killed manhole suffocation
Collapse of object,employee injured fall manhole cover cave
Struck By Moving Objects,employee injured struck backhoe bucket
Struck By Moving Objects,employee injured struck falling section manhole
Other,employee finger amputed falling manhole cover
Falls,employee lost balance removing manhole cover falling 12 foot
Struck By Moving Objects,worker injured hit falling roll synthetic turf
Other,worker develops infection stepping nail
Falls,employee killed fall floor hole
Falls,painter fall hole 15 foot
Falls,employee sustains fracture falling roof
Falls,employee fall approximately 20 foot death
Falls,employee killed fall roof
Falls,employee killed fall roof
Electrocution,employee burned steel tape measure contact power line
Falls,fall elevation
Falls,employee injured fall
Electrocution,one employee killed one injured contact power line
Falls,employee injured fall
Struck By Moving Objects,employee killed struck crane bucket
Falls,employee fall roof
Electrocution,electric shock
Struck By Moving Objects,worker crushed killed unmanned water truck
Suffocation,five employee asphyxiated vapor chemical fire
Fires and Explosion,employee burned paint mixture explodes
Fires and Explosion,three employee injured vapor ignited
Fires and Explosion,three employee injured flash fire sealing bridge
Caught in/between Objects,employee finger caught sander amputated
Falls,steel worker fracture foot fall struck
Electrocution,employee dy electrical shock
Struck By Moving Objects,employee died head injury
Falls,employee killed fall unguarded metal roof deck
Falls,worker injured fall steel beam
Falls,employee injured fall roof opening
Falls,employee killed knocked roof
Falls,employee injured fall roof
Falls,employee killed fall decking roof
Collapse of object,employee killed deck collapse
Falls,steel erector killed fall coworker injured
Falls,employee injured fall metal decking roof
Falls,employee killed fall roof deck
Falls,employee killed fall deck opening
Caught in/between Objects,employee foot injured steel deck work
Electrocution,employee sustains electrical shock working roof
Electrocution,employee electrocuted relocating ladder
Electrocution,worker electrocuted erecting grain bin
Electrocution,employee electrocuted power line arc excavator
Other,employee cut finger piece shaving
Electrocution,employee electrocuted erecting aluminum pole
Electrocution,two employee electrocuted scaffold contact power line
Electrocution,employee killed scaffold pole contact power line
Struck By Moving Objects,k
Struck By Moving Objects,employee killed caught
Falls,worker injured fall wall
Falls,employee injured fall scaffold
Falls,employee injures back fall scaffold
Struck By Moving Objects,employee injured iron bike rail bridge overturn
Fires and Explosion,employee burned saw catch fire
Falls,employee fall ladder fracture leg
Falls,employee back injured fall skylight
Falls,employee injured fall roof opening
Falls,employee fatally fall ladder
Falls,employee killed fall roof
Falls,employee sustains compound leg fracture fall
Falls,employee injured fall installing metal stair
Falls,two employee fall roof one dy one injured
Falls,employee killed fork lift turn
Falls,worker killed fall steel beam
Falls,employee injures head fall ladder
Falls,employee fall roof
Falls,employee injured fall roof
Falls,employee injured fall scaffold
Other,employee finger lacerated track flying aluminium
Electrocution,employee killed fall contacting power line
Electrocution,one electrocuted one shocked contact power line
Falls,employee injured fall scissor lift
Falls,employee killed fall ladder
Falls,employee fracture tibia fall ladder
Struck By Moving Objects,employee injured struck falling scrap metal
Falls,employee injured stepladder collapse
Electrocution,worker electrocuted overhead power line
Electrocution,employee electrocuted working roof
Falls,employee dy fall roof
Electrocution,employee electrocuted flashing contact power line
Other,employee fingertip amputated clamp
Suffocation,employee using stripper containing methylene chloride dy
Suffocation,employee killed overexposure methylene chloride
Suffocation,worker asphyxiated using chemical stripper
Suffocation,employee killed methylene chloride
Suffocation,employee dy poisoned
Suffocation,employee killed stripping paint tub
Falls,worker injured fall scaffolding
Falls,employee killed midrail collapse
Falls,two employee injured fall scaffold midrail break
Falls,employee injured scissor lift tip
Falls,employee killed fall board come loose
Falls,employee fall scaffold
Falls,employee fall scaffold
Falls,fall aerial lift kill employee
Falls,employee fracture pelvis tailbone fall scaffold
Falls,employee injured fall scaffold midrail fails
Falls,employee amputates leg fall ladder
Falls,employee injured fall floor opening
Struck By Moving Objects,worker struck vehicle
Other,employee injured fall mortar mixer
Other,employee amputates finger struck mixer paddle
Other,worker fails lockout grout mixer severs two finger
Caught in/between Objects,employee suffers contusion crane overturn
Struck By Moving Objects,two employee injured mobile crane overturn
Struck By Moving Objects,employee jaw fractured struck falling crane boom
Falls,employee injured slide column
Other,employee hand fractured crane tip
Struck By Moving Objects,employee struck falling beam later dy
Falls,employee killed fall ladder scaffold
Struck By Moving Objects,employee struck debris collapsed truss system
Caught in/between Objects,employee injures finger exiting mobile crane
Collapse of object,employee killed mobile home renovation
Struck By Moving Objects,employee crushed killed mobile home
Caught in/between Objects,employee injured relocating mobile home trailer
Falls,employee fall scaffold later dy
Collapse of object,employee killed mobile home installation
Other,employee setting mobile home killed home shift
Struck By Moving Objects,employee killed pinned mobile home fell
Falls,worker moving scaffolding elevated injured collapse
Falls,asbestos worker injured rolling scaffold tip
Falls,employee fall scaffold injured
Collapse of object,one employee dy another injuried roof collapse
Falls,employee injured fall mobile scaffold
Falls,person looking work fall roof construction site
Falls,employee injured fall mobile scaffold
Falls,employee fall scaffold fracture wrist
Falls,employee fall 15 foot ladder mobile scaffold
Falls,employee injured fall rolling scaffold
Other,employee lacerates finger mold tip
Fires and Explosion,employee killed magnesium fire
